rank;born;country;category;time_total;time_1half;time_2half;time_0to5km;time_5to10km;time_10to15km;time_15to20km;time_20to25km;time_25to30km;time_30to35km;time_35to40km;time_40to42km
85;89;AUT;W-30;03:19:17;01:37:23;01:41:55;00:22:40;00:22:36;00:23:25;00:23:28;00:23:54;00:24:26;00:24:35;00:24:18;00:10:00
86;84;AUT;W-35;03:20:14;01:39:52;01:40:23;00:23:54;00:23:35;00:24:08;00:23:11;00:23:07;00:23:30;00:23:37;00:24:28;00:10:50
87;81;AUT;W-40;03:20:28;01:39:34;01:40:55;00:23:42;00:23:17;00:24:03;00:23:24;00:23:22;00:23:36;00:23:58;00:24:24;00:10:46
88;96;CZE;W-H;03:20:57;01:41:40;01:39:17;00:24:32;00:23:52;00:24:33;00:23:31;00:23:34;00:23:27;00:23:09;00:23:53;00:10:30
89;77;ESP;W-45;03:21:30;01:40:09;01:41:22;00:23:50;00:23:24;00:24:01;00:23:51;00:23:20;00:23:48;00:24:01;00:24:31;00:10:48
90;76;GER;W-45;03:22:03;01:37:52;01:44:12;00:22:06;00:23:02;00:24:11;00:23:28;00:23:44;00:24:41;00:24:13;00:25:16;00:11:26
91;86;AUT;W-35;03:22:23;01:40:32;01:41:51;00:23:34;00:23:26;00:24:32;00:23:45;00:23:18;00:23:44;00:24:50;00:24:41;00:10:36
92;80;AUT;W-40;03:22:35;01:36:50;01:45:45;00:22:30;00:22:46;00:23:36;00:22:55;00:23:23;00:23:58;00:24:45;00:27:04;00:11:41
93;87;ITA;W-35;03:22:45;01:38:34;01:44:11;00:23:34;00:23:04;00:23:50;00:22:58;00:23:13;00:23:56;00:25:19;00:25:44;00:11:10
94;84;FRA;W-35;03:22:45;01:40:17;01:42:29;00:23:34;00:23:19;00:24:31;00:23:44;00:23:29;00:24:00;00:24:57;00:24:55;00:10:21
95;79;AUT;W-40;03:22:48;01:37:35;01:45:14;00:22:05;00:22:51;00:23:58;00:23:27;00:23:55;00:24:36;00:25:25;00:25:27;00:11:09
96;81;HUN;W-40;03:23:03;01:39:34;01:43:29;00:23:18;00:23:25;00:24:07;00:23:35;00:23:29;00:24:08;00:24:56;00:25:14;00:10:56
97;84;AUT;W-35;03:23:10;01:41:55;01:41:15;00:24:42;00:23:11;00:24:35;00:24:05;00:24:26;00:24:12;00:24:04;00:23:43;00:10:16
98;80;SVK;W-40;03:23:11;01:41:03;01:42:09;00:23:48;00:23:43;00:24:42;00:23:40;00:23:37;00:24:21;00:24:39;00:24:24;00:10:21
99;88;POL;W-35;03:23:26;01:41:31;01:41:56;00:24:09;00:23:51;00:24:21;00:23:52;00:23:58;00:24:02;00:24:34;00:24:20;00:10:23
100;92;AUT;W-30;03:23:31;01:37:30;01:46:02;00:23:01;00:23:12;00:23:32;00:22:45;00:23:09;00:24:41;00:25:30;00:26:20;00:11:25
101;87;UKR;W-35;03:23:38;01:39:33;01:44:06;00:22:42;00:23:56;00:24:34;00:23:24;00:23:07;00:23:44;00:24:45;00:25:58;00:11:31
102;88;KAZ;W-35;03:23:42;01:39:41;01:44:02;00:23:35;00:23:26;00:23:59;00:23:33;00:24:35;00:25:10;00:24:45;00:24:38;00:10:05
103;86;GER;W-35;03:23:57;01:37:50;01:46:08;00:22:36;00:22:36;00:23:59;00:23:26;00:23:44;00:24:27;00:25:28;00:26:10;00:11:35
104;72;BRA;W-50;03:23:59;01:41:26;01:42:34;00:23:40;00:23:54;00:24:48;00:23:48;00:24:19;00:24:27;00:24:11;00:24:26;00:10:32
105;81;GER;W-40;03:24:04;01:41:56;01:42:09;00:24:16;00:24:12;00:24:33;00:23:45;00:23:35;00:23:57;00:24:19;00:24:36;00:10:54
106;62;USA;W-60;03:24:15;01:39:58;01:44:18;00:23:32;00:23:19;00:24:12;00:23:46;00:23:49;00:24:15;00:25:29;00:25:15;00:10:42
107;75;SLO;W-45;03:24:18;01:40:43;01:43:36;00:23:27;00:23:44;00:24:35;00:23:43;00:24:10;00:24:22;00:24:39;00:24:53;00:10:49
